chem_id,compound_class
100001859,6
100001860,6
100001861,6
100001862,6
100001863,6
100001864,6
100001866,5
100001867,10
100001868,25
100001869,2
100001870,2
100001872,2
100001873,2
100001876,24
100001883,13
100001884,29
100001885,14
100001886,29
100001887,11
100001888,14
100001889,11
100001890,29
100001891,29
100001892,14
100001893,11
100001894,11
100001895,11
100001896,11
100001897,11
100001898,24
100001899,1
100001903,7
100001904,22
100001905,22
100001906,1
100001910,7
100001911,27
100001913,1
100001914,7
100001918,31
100001919,20
100001920,7
100001921,7
100001923,19
100001924,6
100001925,28
100001926,30
100001927,27
100001928,27
100001929,14
100001931,21
100001932,27
100001933,27
100001934,27
100001935,23
100001937,6
100001938,5
100001940,9
100001941,14
100001942,23
100001943,23
100001944,30
100001945,23
100001946,0
100001947,28
100001948,30
100001950,21
100001951,21
100001953,20
100001954,11
100001955,29
100001956,26
100001957,0
100001964,8
100001968,5
100001970,10
100001971,10
100001972,20
100001973,10
100001974,7
100001975,1
100001976,20
100001977,2
100001979,1
100001980,2
100001981,1
100001983,7
100001984,2
100001986,6
100001987,8
100001988,8
100001992,8
100001995,7
100001997,25
100001999,7
100002003,7
100002008,29
100002009,8
100002011,8
100002015,8
100002017,8
100002028,8
100002029,8
100002032,7
100002034,8
100002035,8
100002046,16
100002047,10
100002048,20
100002049,9
100002050,20
100002051,10
100002052,10
100002053,10
100002054,10
100002055,10
100002056,10
100002057,10
100002058,20
100002067,8
100002070,4
100002072,25
100002073,26
100002074,10
100002075,20
100002076,5
100002077,14
100002078,10
100002079,11
100002080,10
100002081,10
100002082,4
100002083,23
100002084,22
100002085,11
100002087,10
100002088,20
100002089,14
100002090,23
100002092,10
100002093,11
100002094,10
100002095,22
100002096,20
100002097,20
100002098,11
100002102,15
100002103,19
100002105,4
100002106,3
100002107,3
100002109,6
100002110,6
100002111,3
100002112,21
100002113,24
100002114,24
100002115,4
100002116,4
100002117,20
100002118,13
100002121,1
100002122,20
100002123,14
100002124,8
100002126,8
100002128,8
100002129,7
100002132,15
100002134,13
100002135,13
100002136,13
100002137,13
100002138,13
100002139,1
100002140,1
100002143,28
100002144,1
100002145,1
100002146,28
100002147,3
100002148,3
100002149,3
100002150,30
100002151,21
100002153,3
100002154,3
100002155,27
100002156,9
100002158,27
100002159,7
100002160,27
100002161,10
100002162,13
100002163,13
100002164,13
100002165,13
100002166,13
100002167,13
100002168,13
100002169,13
100002177,6
100002178,7
100002179,19
100002183,3
100002184,9
100002185,22
100002193,26
100002196,13
100002200,11
100002204,14
100002206,10
100002207,4
100002209,13
100002213,19
100002216,10
100002218,24
100002219,4
100002220,10
100002221,20
100002222,3
100002223,10
100002224,22
100002225,4
100002226,1
100002227,8
100002228,18
100002229,1
100002230,11
100002231,22
100002232,15
100002233,22
100002234,1
100002235,9
100002236,20
100002237,22
100002241,9
100002242,28
100002249,26
100002250,25
100002253,20
100002254,4
100002256,7
100002259,3
100002260,7
100002261,21
100002264,27
100002265,1
100002266,1
100002268,6
100002270,7
100002271,1
100002284,6
100002285,4
100002287,11
100002289,28
100002290,28
100002293,23
